anime_id,title,score,type,episodes,year,genres,studios
1,Cowboy Bebop,8.75,TV,26.0,1998.0,"Action, Award Winning, Sci-Fi",Sunrise
5,Cowboy Bebop: Tengoku no Tobira,8.38,Movie,1.0,,"Action, Sci-Fi",Bones
6,Trigun,8.22,TV,26.0,1998.0,"Action, Adventure, Sci-Fi",Madhouse
7,Witch Hunter Robin,7.23,TV,26.0,2002.0,"Action, Drama, Mystery, Supernatural",Sunrise
8,Bouken Ou Beet,6.93,TV,52.0,2004.0,"Action, Adventure, Fantasy",Toei Animation
15,Eyeshield 21,7.91,TV,145.0,2005.0,Sports,Gallop
16,Hachimitsu to Clover,7.98,TV,24.0,2005.0,"Comedy, Drama, Romance",J.C.Staff
17,Hungry Heart: Wild Striker,7.54,TV,52.0,2002.0,Sports,Nippon Animation
18,Initial D Fourth Stage,8.17,TV,24.0,2004.0,"Action, Drama",A.C.G.T.
19,Monster,8.89,TV,74.0,2004.0,"Drama, Mystery, Suspense",Madhouse
20,Naruto,8.02,TV,220.0,2002.0,"Action, Adventure, Fantasy",Studio Pierrot
21,One Piece,8.73,TV,,1999.0,"Action, Adventure, Fantasy",Toei Animation
22,Tennis no Oujisama,7.84,TV,178.0,2001.0,Sports,Trans Arts
23,Ring ni Kakero 1,6.4,TV,12.0,2004.0,Sports,Toei Animation
24,School Rumble,7.88,TV,26.0,2004.0,"Comedy, Romance",Studio Comet
25,Sunabouzu,7.36,TV,24.0,2004.0,"Action, Adventure, Comedy, Sci-Fi, Ecchi",Gonzo
26,Texhnolyze,7.76,TV,22.0,2003.0,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense",Madhouse
27,Trinity Blood,7.28,TV,24.0,2005.0,"Action, Fantasy, Sci-Fi",Gonzo
28,Yakitate!! Japan,7.91,TV,69.0,2004.0,"Comedy, Gourmet",Sunrise
29,Zipang,7.5,TV,26.0,2004.0,"Action, Drama, Sci-Fi",Studio Deen
30,Shinseiki Evangelion,8.37,TV,26.0,1995.0,"Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Gainax, Tatsunoko Production"
31,Shinseiki Evangelion Movie: Shi to Shinsei,7.49,Movie,1.0,,"Drama, Sci-Fi, Suspense","Gainax, Production I.G, Tatsunoko Production"
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.57,Movie,1.0,,"Avant Garde, Drama, Sci-Fi, Suspense","Gainax, Production I.G"
33,Kenpuu Denki Berserk,8.61,TV,25.0,1997.0,"Action, Adventure, Drama, Fantasy, Horror",OLM
43,Koukaku Kidoutai,8.27,Movie,1.0,,"Award Winning, Mystery, Sci-Fi, Suspense",Production I.G
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,OVA,4.0,,"Action, Drama, Romance",Studio Deen
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.27,TV,94.0,1996.0,"Action, Comedy, Romance","Gallop, Studio Deen"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,Movie,1.0,,Drama,Gallop
47,Akira,8.16,Movie,1.0,,"Action, Horror, Sci-Fi",Tokyo Movie Shinsha
48,.hack//Sign,6.94,TV,26.0,2002.0,"Adventure, Fantasy, Mystery",Bee Train
49,Aa! Megami-sama!,7.28,OVA,5.0,,"Comedy, Romance, Supernatural",AIC
50,Aa! Megami-sama! (TV),7.31,TV,24.0,2005.0,"Comedy, Romance, Supernatural",AIC
51,Tenshi Kinryouku,6.23,OVA,3.0,,"Action, Drama, Romance, Supernatural",HAL Film Maker
52,Kidou Tenshi Angelic Layer,7.25,TV,26.0,2001.0,"Award Winning, Comedy, Drama, Sci-Fi",Bones
53,Ai Yori Aoshi,7.1,TV,24.0,2002.0,"Comedy, Drama, Romance",J.C.Staff
54,Appleseed (Movie),7.05,Movie,1.0,,Sci-Fi,Digital Frontier
55,Arc the Lad,6.49,TV,26.0,1999.0,"Action, Adventure, Fantasy, Horror, Sci-Fi",Bee Train
56,Avenger,5.86,TV,13.0,2003.0,"Adventure, Fantasy, Sci-Fi",Bee Train
57,Beck,8.29,TV,26.0,2004.0,Drama,Madhouse
58,Blue Gender,7.01,TV,26.0,1999.0,"Adventure, Drama, Horror, Sci-Fi",AIC
59,Chobits,7.39,TV,26.0,2002.0,"Comedy, Drama, Romance, Sci-Fi, Ecchi",Madhouse
60,Chrno Crusade,7.59,TV,24.0,2003.0,"Action, Romance, Supernatural",Gonzo
61,D.N.Angel,7.15,TV,26.0,2003.0,"Action, Comedy, Fantasy, Romance",Xebec
62,D.C.: Da Capo,6.71,TV,26.0,2003.0,"Drama, Romance","feel., Zexcs"
63,DearS,6.54,TV,12.0,2004.0,"Comedy, Romance, Sci-Fi, Ecchi",Daume
64,Rozen Maiden,7.41,TV,12.0,2004.0,"Action, Drama, Supernatural",Nomad
65,Rozen Maiden: Träumend,7.61,TV,12.0,2005.0,"Action, Drama, Supernatural",Nomad
66,Azumanga Daiou The Animation,8.07,TV,26.0,2002.0,Comedy,J.C.Staff
67,Basilisk: Kouga Ninpou Chou,7.53,TV,24.0,2005.0,"Action, Drama, Romance",Gonzo
68,Black Cat,7.31,TV,23.0,2005.0,"Action, Adventure, Sci-Fi",Gonzo
69,Cluster Edge,6.31,TV,25.0,2005.0,"Action, Fantasy, Sci-Fi",Sunrise
71,Full Metal Panic!,7.59,TV,24.0,2002.0,Comedy,Gonzo
72,Full Metal Panic? Fumoffu,8.01,TV,12.0,2003.0,"Action, Comedy",Kyoto Animation
73,Full Metal Panic! The Second Raid,7.91,TV,13.0,2005.0,,Kyoto Animation
74,Gakuen Alice,7.64,TV,26.0,2004.0,Comedy,Group TAC
75,Soukyuu no Fafner: Dead Aggressor,7.25,TV,25.0,2004.0,"Drama, Sci-Fi",Xebec
76,Mahou Shoujo Lyrical Nanoha,7.41,TV,13.0,2004.0,"Action, Comedy, Drama",Seven Arcs
77,Mahou Shoujo Lyrical Nanoha A's,7.95,TV,13.0,2005.0,"Action, Comedy, Drama",Seven Arcs
79,Shuffle!,7.0,TV,24.0,2005.0,"Comedy, Fantasy, Romance, Ecchi",asread.
80,Kidou Senshi Gundam,7.77,TV,43.0,1979.0,"Drama, Sci-Fi",Sunrise
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,7.99,OVA,12.0,,"Drama, Romance, Sci-Fi",Sunrise
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,8.01,OVA,6.0,,"Drama, Sci-Fi",Sunrise
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6.74,Movie,1.0,,"Drama, Romance, Sci-Fi",Sunrise
84,Kidou Senshi Gundam 0083: Stardust Memory,7.21,OVA,13.0,,"Drama, Romance, Sci-Fi",Sunrise
85,Kidou Senshi Zeta Gundam,7.9,TV,50.0,1985.0,"Drama, Romance, Sci-Fi",Sunrise
86,Kidou Senshi Gundam ZZ,6.68,TV,47.0,1986.0,"Comedy, Drama, Sci-Fi",Sunrise
